mlbam_id,avg_launch_speed,avg_bat_speed,avg_swing_length,recent_home_runs,recent_strikeouts,plate_appearances,home_run_rate,strikeout_rate
607732,88.125,67.2,7.25,0,0,9,0.0,0.0
608070,82.2,71.45714285714286,7.185714285714285,0,0,18,0.0,0.0
608324,80.55,69.48666666666666,6.78,0,2,25,0.0,0.08
608336,92.46666666666665,68.55,7.15,0,0,10,0.0,0.0
608369,88.92,69.43333333333334,6.583333333333333,0,1,14,0.0,0.07142857142857142
608385,80.86666666666666,66.46666666666667,6.766666666666667,0,0,8,0.0,0.0
608671,77.94999999999999,71.36666666666666,7.0,0,1,7,0.0,0.14285714285714285
621020,74.5,71.58571428571429,7.314285714285715,1,0,20,0.05,0.0
621028,76.66666666666667,64.58,6.720000000000001,0,1,8,0.0,0.125
621035,85.5625,66.84,6.56,0,1,27,0.0,0.037037037037037035
621438,82.37142857142858,68.35,7.625,0,1,17,0.0,0.058823529411764705
621493,84.43333333333332,64.07142857142857,7.1571428571428575,0,0,11,0.0,0.0
621566,78.8111111111111,68.48181818181818,6.7727272727272725,0,1,19,0.0,0.05263157894736842
623993,81.23333333333333,73.42,7.44,0,1,20,0.0,0.05
624413,83.875,71.32222222222222,7.2444444444444445,1,2,24,0.041666666666666664,0.08333333333333333
624424,91.54285714285713,75.35555555555555,7.444444444444445,0,1,21,0.0,0.047619047619047616
624428,81.7,65.66666666666667,6.8999999999999995,0,1,13,0.0,0.07692307692307693
624431,76.23333333333333,68.33333333333333,7.433333333333333,0,0,8,0.0,0.0
624585,76.34,71.95,8.1375,0,1,22,0.0,0.045454545454545456
630105,74.3111111111111,63.041666666666664,6.2749999999999995,0,1,23,0.0,0.043478260869565216
641343,84.21666666666667,74.58571428571429,7.471428571428571,0,1,23,0.0,0.043478260869565216
641355,90.74285714285715,63.025,7.35,0,0,16,0.0,0.0
641645,82.1,67.8,7.4,0,0,2,0.0,0.0
641658,79.95,64.10000000000001,6.133333333333333,0,0,6,0.0,0.0
641680,85.25,68.87777777777778,7.877777777777778,0,2,16,0.0,0.125
641856,,69.94999999999999,7.9,0,1,3,0.0,0.3333333333333333
641857,79.85555555555555,72.34166666666667,7.308333333333334,0,1,25,0.0,0.04
641933,85.6,76.3,7.7124999999999995,0,3,18,0.0,0.16666666666666666
642086,64.6,65.38333333333334,7.433333333333334,0,2,18,0.0,0.1111111111111111
642133,,72.15,9.5,0,1,4,0.0,0.25
642350,77.97999999999999,70.45,8.17,1,1,22,0.045454545454545456,0.045454545454545456
642708,,66.56666666666666,7.066666666666666,0,1,6,0.0,0.16666666666666666
642715,83.99,72.28181818181818,8.1,1,2,25,0.04,0.08
