game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_mlbam_id,home_team_lookup_player_name,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,home_team_total_pitches,home_team_recent_home_runs,home_team_recent_strikeouts,home_team_HR,home_team_SO,home_team_PA,home_team_AVG,home_team_SLG,away_team_mlbam_id,away_team_lookup_player_name,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,away_team_total_pitches,away_team_recent_home_runs,away_team_recent_strikeouts,away_team_HR,away_team_SO,away_team_PA,away_team_AVG,away_team_SLG,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct,winner,actual_winner
2024-07-30,MARINERS,RED SOX,LUIS CASTILLO,JAMES PAXTON,420.0,87.47,2004.54,6.33,20.0,0.0,68.98,19.37,85.71,7.15,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARINERS,MARINERS
2024-07-30,RANGERS,CARDINALS,MAX SCHERZER,LANCE LYNN,433.0,90.6,2384.24,6.45,19.0,0.0,71.28,26.45,82.6,7.07,5.0,462.0,86.69,2236.01,6.28,30.0,0.0,69.16,23.3,81.28,7.32,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARDINALS,CARDINALS
2024-07-30,BRAVES,BREWERS,BRYCE ELDER,JOE ROSS,87.0,91.53,2150.45,6.9,4.0,0.0,71.86,19.14,85.95,7.45,1.0,262.0,88.09,2210.12,5.82,17.0,0.0,71.28,8.38,84.55,7.66,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRAVES,BRAVES
2024-07-30,PIRATES,ASTROS,BAILEY FALTER,HUNTER BROWN,598.0,92.9,2167.59,6.61,36.0,0.0,69.71,17.1,80.67,6.85,6.0,192.0,88.59,1976.73,7.37,10.0,0.0,71.55,22.91,86.05,7.29,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIRATES,PIRATES
2024-07-30,ROYALS,WHITE SOX,MICHAEL WACHA,JONATHAN CANNON,461.0,89.24,2172.59,6.08,14.0,0.0,69.78,17.37,82.67,7.1,5.0,446.0,86.64,1922.04,6.87,24.0,0.0,68.72,12.18,81.01,7.38,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROYALS,ROYALS
2024-07-30,ROCKIES,ANGELS,CAL QUANTRILL,GRIFFIN CANNING,420.0,89.43,2189.74,5.87,22.0,0.0,70.09,16.7,83.82,7.3,5.0,429.0,89.27,1891.76,6.47,18.0,0.0,69.71,17.94,83.2,7.18,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANGELS,ANGELS
2024-07-30,DODGERS,PADRES,TYLER GLASNOW,MATT WALDRON,528.0,82.52,1372.66,6.67,25.0,0.0,69.08,19.16,82.64,7.34,6.0,291.0,92.02,2576.55,7.39,19.0,0.0,68.38,11.84,81.89,7.07,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PADRES,PADRES
2024-07-30,NATIONALS,D-BACKS,PATRICK CORBIN,RYNE NELSON,555.0,91.9,2216.94,6.7,33.0,0.0,68.0,23.14,82.25,6.7,6.0,538.0,84.71,2193.38,6.75,28.0,0.0,69.96,9.69,83.73,7.62,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-BACKS,D-BACKS
2024-07-29,BLUE JAYS,ORIOLES,YARIEL RODRIGUEZ,ZACH EFLIN,470.0,87.31,2225.47,6.57,25.0,0.0,68.33,10.86,81.05,7.22,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUE JAYS,BLUE JAYS
2024-07-29,BLUE JAYS,ORIOLES,YARIEL RODRIGUEZ,ZACH EFLIN,470.0,87.31,2225.47,6.57,25.0,0.0,68.33,10.86,81.05,7.22,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIOLES,ORIOLES
2024-07-29,BLUE JAYS,ORIOLES,BOWDEN FRANCIS,CADE POVICH,320.0,87.48,2291.08,6.28,10.0,0.0,70.04,26.9,82.2,7.08,4.0,191.0,86.55,2173.46,6.84,7.0,0.0,71.35,26.59,83.7,7.22,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUE JAYS,BLUE JAYS
2024-07-29,BLUE JAYS,ORIOLES,BOWDEN FRANCIS,CADE POVICH,320.0,87.48,2291.08,6.28,10.0,0.0,70.04,26.9,82.2,7.08,4.0,191.0,86.55,2173.46,6.84,7.0,0.0,71.35,26.59,83.7,7.22,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIOLES,ORIOLES
2024-07-29,YANKEES,PHILLIES,LUIS GIL,ZACK WHEELER,388.0,91.24,2409.96,7.14,27.0,0.0,69.27,20.89,81.5,6.98,4.0,457.0,93.06,2282.06,6.87,33.0,0.0,71.31,22.82,83.67,7.32,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YANKEES,YANKEES
2024-07-29,GUARDIANS,TIGERS,TANNER BIBEE,BEAU BRIESKE,260.0,92.06,2378.42,6.1,16.0,0.0,69.64,15.32,84.16,7.4,11.0,561.0,88.03,2424.32,6.58,26.0,0.0,68.31,23.06,81.01,6.97,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUARDIANS,GUARDIANS
2024-07-29,TWINS,METS,SIMEON WOODS RICHARDSON,JOSE QUINTANA,475.0,84.79,2004.7,6.59,25.0,0.0,68.23,12.33,81.46,7.26,5.0,437.0,87.57,2278.28,6.79,22.0,0.0,70.42,24.02,81.96,7.14,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METS,METS
2024-07-29,CUBS,REDS,JAMESON TAILLON,CARSON SPIERS,337.0,87.84,2321.19,6.68,20.0,0.0,69.69,21.37,82.74,7.19,4.0,434.0,87.09,2424.11,6.59,24.0,0.0,70.36,21.27,85.26,7.37,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDS,REDS
2024-07-29,MARINERS,RED SOX,LOGAN GILBERT,NICK PIVETTA,469.0,87.68,2403.26,6.78,44.0,0.0,68.94,23.5,81.67,7.11,5.0,423.0,90.53,1822.14,7.58,34.0,0.0,67.71,13.34,82.69,7.27,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RED SOX,RED SOX
2024-07-29,RANGERS,CARDINALS,NATHAN EOVALDI,ANDRE PALLANTE,381.0,91.92,2300.78,6.68,18.0,0.0,69.85,4.85,81.69,6.95,4.0,531.0,90.24,1986.82,6.57,32.0,0.0,69.93,9.6,84.2,7.19,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANGERS,RANGERS
2024-07-29,BRAVES,BREWERS,GRANT HOLMES,COLIN REA,447.0,88.96,2091.77,6.67,28.0,0.0,70.37,20.61,83.84,7.32,5.0,291.0,88.97,2600.27,5.94,24.0,0.0,69.29,15.37,82.12,7.48,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BREWERS,BREWERS
2024-07-29,PIRATES,ASTROS,PAUL SKENES,TAYLER SCOTT,216.0,89.52,2180.31,5.73,17.0,0.0,69.06,28.33,81.87,7.13,11.0,513.0,92.42,2131.75,6.41,42.0,0.0,69.39,13.36,83.74,7.26,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIRATES,PIRATES
2024-07-29,ROYALS,WHITE SOX,ALEC MARSH,CHRIS FLEXEN,567.0,85.54,2191.93,6.3,20.0,0.0,70.27,20.58,81.64,7.3,6.0,356.0,90.08,2411.64,6.18,19.0,0.0,69.44,13.9,81.01,7.37,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROYALS,ROYALS
2024-07-29,NATIONALS,D-BACKS,MITCHELL PARKER,JORDAN MONTGOMERY,145.0,85.93,2070.69,6.65,3.0,0.0,68.92,10.06,83.15,7.61,2.0,372.0,88.24,2100.69,6.83,21.0,0.0,68.68,20.64,81.04,7.16,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-BACKS,D-BACKS
2024-07-28,REDS,RAYS,HUNTER GREENE,,,,,,,,,,,,,508.0,92.68,2312.47,6.46,35.0,0.0,68.6,29.04,80.62,7.22,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAYS,RAYS
2024-07-28,GUARDIANS,PHILLIES,JOEY CANTILLO,KOLBY ALLARD,63.0,85.7,1957.98,6.1,1.0,0.0,68.91,20.8,84.63,7.02,1.0,75.0,86.11,1885.21,7.39,3.0,0.0,69.29,21.26,84.17,7.67,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUARDIANS,GUARDIANS
2024-07-28,PADRES,ORIOLES,RANDY VASQUEZ,ALBERT SUAREZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIOLES,ORIOLES
2024-07-28,RANGERS,BLUE JAYS,JON GRAY,JOSE BERRIOS,,,,,,,,,,,,255.0,91.22,2087.13,6.57,9.0,0.0,70.01,21.02,82.66,7.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUE JAYS,BLUE JAYS
2024-07-28,BRAVES,METS,REYNALDO LOPEZ,DAVID PETERSON,451.0,88.8,2124.93,7.05,22.0,0.0,69.11,10.0,83.59,6.99,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRAVES,BRAVES
2024-07-28,TWINS,TIGERS,BAILEY OBER,ALEX FAEDO,277.0,89.37,2399.35,6.03,17.0,0.0,67.94,16.71,81.48,7.42,11.0,456.0,87.0,2133.45,7.14,38.0,0.0,69.51,23.25,82.22,7.44,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWINS,TWINS
2024-07-28,MARLINS,BREWERS,KYLE TYLER,TOBIAS MYERS,448.0,88.68,2163.12,6.68,28.0,0.0,69.4,20.72,81.67,7.07,5.0,337.0,85.41,2283.86,6.95,17.0,0.0,68.6,10.98,78.21,7.09,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BREWERS,BREWERS
