team_name,season,date,games,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts,stolen_bases,caught_stealing,batting_avg,on_base_pct,slugging_pct,ops,sacrifice_flies,hit_by_pitch,total_bases,ground_into_double_plays,intentional_walks,iso,runs_per_game,hr_per_game,k_rate,bb_rate,sb_success_rate
PHI,2024,2024-07-27,162,5534,784,1423,285,24,198,750,515,1370,148,30,0.257,0.325,0.425,0.75,40,62,2350,107,21,0.16799999999999998,4.839506172839506,1.2222222222222223,0.24756053487531623,0.09306107697867727,0.8314606741573034
WSH,2024,2024-07-27,162,5374,660,1306,267,18,135,621,456,1220,223,73,0.243,0.309,0.375,0.684,40,73,2014,115,11,0.132,4.074074074074074,0.8333333333333334,0.22701898027540007,0.0848529959062151,0.7533783783783784
CHC,2024,2024-07-27,162,5441,736,1318,253,29,170,696,546,1362,143,30,0.242,0.317,0.393,0.71,41,70,2139,89,19,0.15100000000000002,4.54320987654321,1.0493827160493827,0.25032163205293145,0.10034920051461128,0.8265895953757225
CIN,2024,2024-07-27,162,5325,699,1230,257,29,174,663,496,1459,207,45,0.231,0.305,0.388,0.693,43,87,2067,86,7,0.157,4.314814814814815,1.0740740740740742,0.2739906103286385,0.09314553990610329,0.8214285714285714
MIL,2024,2024-07-27,162,5472,777,1359,249,33,177,742,597,1459,217,42,0.248,0.326,0.403,0.729,34,46,2205,97,19,0.15500000000000003,4.796296296296297,1.0925925925925926,0.2666301169590643,0.10910087719298246,0.8378378378378378
PIT,2024,2024-07-27,162,5477,665,1283,236,17,160,643,485,1506,106,19,0.234,0.301,0.371,0.672,47,60,2033,100,14,0.13699999999999998,4.104938271604938,0.9876543209876543,0.2749680482015702,0.0885521270768669,0.848
STL,2024,2024-07-27,162,5507,672,1363,257,21,165,639,478,1318,91,29,0.248,0.312,0.392,0.703,47,56,2157,91,10,0.14400000000000002,4.148148148148148,1.0185185185185186,0.239331759578718,0.0867986199382604,0.7583333333333333
ARI,2024,2024-07-27,162,5522,886,1452,271,37,211,845,569,1265,119,30,0.263,0.337,0.44,0.777,66,84,2430,112,17,0.177,5.469135802469136,1.3024691358024691,0.2290836653386454,0.10304237595074249,0.7986577181208053
COL,2024,2024-07-27,162,5454,682,1319,277,25,179,655,453,1617,85,31,0.242,0.304,0.4,0.704,45,51,2183,126,20,0.15800000000000003,4.209876543209877,1.1049382716049383,0.2964796479647965,0.08305830583058306,0.7327586206896551
LAD,2024,2024-07-27,162,5522,842,1423,291,26,233,815,602,1336,136,23,0.258,0.335,0.446,0.781,51,64,2465,99,33,0.188,5.197530864197531,1.4382716049382716,0.24194132560666426,0.10901847156827237,0.8553459119496856
SD,2024,2024-07-27,162,5526,760,1456,259,18,190,726,458,1077,120,28,0.263,0.324,0.42,0.745,31,56,2321,133,18,0.15699999999999997,4.691358024691358,1.1728395061728396,0.19489685124864278,0.082880926529135,0.8108108108108109
SF,2024,2024-07-27,162,5460,693,1303,266,30,177,661,492,1452,68,22,0.239,0.305,0.396,0.701,47,52,2160,115,15,0.15700000000000003,4.277777777777778,1.0925925925925926,0.26593406593406593,0.09010989010989011,0.7555555555555555
